1:
 num     #instances         #bytes  class name (module)
 121:         20001         480024  org.apache.coyote.http11.filters.GzipOutputFilter
 122:         20001         480024  org.apache.coyote.http11.filters.GzipOutputFilter$FakeOutputStream
 123:         20001         480024  org.apache.tomcat.util.buf.CharsetHolder
 124:         20001         480024  org.apache.tomcat.util.http.ServerCookies
 125:         20001         480024  org.apache.tomcat.util.net.SocketBufferHandler
 126:         20000         480000  com.meirongdev.ssedemo.sse.SseSink
 127:         20000         480000  io.micrometer.core.instrument.Timer$Sample
 128:         20000         480000  java.lang.VirtualThread$VThreadContinuation$1 (java.base@25.0.4)
 129:         20000         480000  org.apache.tomcat.util.net.WriteBuffer
 130:         20000         480000  org.springframework.web.context.request.async.DeferredResultInterceptorChain
 131:         20000         480000  org.springframework.web.context.request.async.StandardServletAsyncWebRequest$LifecycleServletOutputStream
 132:         20000         480000  org.springframework.web.context.request.async.WebAsyncManager$$Lambda/0x00003ffc01559260
 133:         20000         480000  org.springframework.web.context.request.async.WebAsyncManager$$Lambda/0x00003ffc01559900
 134:         20000         480000  org.springframework.web.context.request.async.WebAsyncManager$$Lambda/0x00003ffc0155a420
 135:         20000         480000  org.springframework.web.context.request.async.WebAsyncManager$$Lambda/0x00003ffc0155b700
 136:         20000         480000  org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitter$ErrorCallback
 137:         20000         480000  org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterReturnValueHandler$StreamingServletServerHttpResponse
 138:          6041         451888  [I (java.base@25.0.4)
 139:         20819         333104  java.util.concurrent.atomic.AtomicInteger (java.base@25.0.4)
 140:         20734         331744  java.lang.Integer (java.base@25.0.4)
 141:         20696         331136  java.util.concurrent.CopyOnWriteArraySet (java.base@25.0.4)
 142:         20126         322016  org.springframework.util.LinkedMultiValueMap
 143:         20014         320224  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@25.0.4)
 144:         20004         320064  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@25.0.4)
 145:         20001         320016  org.apache.coyote.http11.Http11InputBuffer$SocketInputBuffer
 146:         20001         320016  org.apache.coyote.http11.Http11OutputBuffer$SocketOutputBuffer
 147:         20001         320016  org.apache.coyote.http11.filters.VoidInputFilter
 148:         20001         320016  org.apache.coyote.http11.filters.VoidOutputFilter
 149:         20001         320016  org.apache.tomcat.util.buf.UDecoder
 150:         20000         320000  com.meirongdev.ssedemo.core.Registry$$Lambda/0x00003ffc01552fd0
 151:         20000         320000  com.meirongdev.ssedemo.core.Session$$Lambda/0x00003ffc015538d0
 152:         20000         320000  com.meirongdev.ssedemo.core.Session$$Lambda/0x00003ffc01556480
 153:         20000         320000  com.meirongdev.ssedemo.sse.SseSink$$Lambda/0x00003ffc01553d30
 154:         20000         320000  java.lang.VirtualThread$$Lambda/0x00003ffc014fb180 (java.base@25.0.4)
 155:         20000         320000  java.lang.VirtualThread$$Lambda/0x00003ffc014ff110 (java.base@25.0.4)
 156:         20000         320000  org.apache.catalina.connector.CoyoteOutputStream
 157:         20000         320000  org.apache.catalina.connector.RequestFacade
 158:         20000         320000  org.apache.catalina.connector.ResponseFacade
 159:         20000         320000  org.springframework.http.server.ServletResponseHeadersAdapter
 160:         20000         320000  org.springframework.util.MultiValueMapAdapter
 161:         20000         320000  org.springframework.web.bind.support.SimpleSessionStatus
 162:         20000         320000  org.springframework.web.context.request.async.DeferredResult$LifecycleInterceptor
 163:         20000         320000  org.springframework.web.context.request.async.WebAsyncManager$$Lambda/0x00003ffc01518830
 164:         20000         320000  org.springframework.web.filter.ServerHttpObservationFilter$ObservationAsyncListener
 165:         20000         320000  org.springframework.web.servlet.FrameworkServlet$RequestBindingInterceptor
 166:         10398         267232  [Ljava.lang.Class; (java.base@25.0.4)
 167:          5309         254832  java.lang.invoke.MemberName (java.base@25.0.4)
 168:         10049         241176  java.util.concurrent.ConcurrentSkipListMap$Index (java.base@25.0.4)
 169:            12         160960  [Ljava.util.concurrent.ForkJoinTask; (java.base@25.0.4)
 170:          3760         150400  java.lang.invoke.MethodType (java.base@25.0.4)
 171:          1890         136080  java.lang.reflect.Field (java.base@25.0.4)
 172:             1         131088  [Ljava.util.concurrent.DelayScheduler$ScheduledForkJoinTask; (java.base@25.0.4)
 173:          3764         120448  jdk.internal.util.WeakReferenceKey (java.base@25.0.4)
 174:          2074         116144  org.springframework.core.ResolvableType
 175:          3324         115592  [Ljava.lang.String; (java.base@25.0.4)
 176:          2294          91760  jdk.internal.util.SoftReferenceKey (java.base@25.0.4)
