1:
 num     #instances         #bytes  class name (module)
 180:           584          14096  [Lorg.springframework.core.ResolvableType;
 181:           352          14080  java.lang.invoke.MethodTypeForm (java.base@25.0.4)
 182:           117          14040  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 183:           872          13952  java.util.concurrent.atomic.AtomicInteger (java.base@25.0.4)
 184:           345          13800  org.springframework.core.type.classreading.ClassFileMethodMetadata
 185:           564          13536  java.util.concurrent.ConcurrentLinkedDeque (java.base@25.0.4)
 186:           562          13488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 187:           410          13120  jdk.jfr.SettingDescriptor (jdk.jfr@25.0.4)
 188:           407          13024  jdk.jfr.internal.Control (jdk.jfr@25.0.4)
 189:           397          12704  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 190:           526          12624  java.util.ImmutableCollections$ListN (java.base@25.0.4)
 191:           260          12480  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25.0.4)
 192:           770          12320  org.springframework.core.ResolvableType$DefaultVariableResolver
 193:           485          11640  org.apache.tomcat.util.http.MimeHeaderField
 194:           283          11320  java.lang.reflect.Parameter (java.base@25.0.4)
 195:           469          11256  java.util.ImmutableCollections$Set12 (java.base@25.0.4)
 196:            54          11232  org.apache.coyote.Request
 197:           280          11200  sun.security.util.KnownOIDs (java.base@25.0.4)
 198:           465          11160  java.util.jar.Attributes$Name (java.base@25.0.4)
 199:           345          11040  org.springframework.core.type.classreading.ClassFileMethodMetadata$Source
 200:           686          10976  org.springframework.beans.factory.support.MethodOverrides
 201:           341          10912  jdk.internal.math.FDBigInteger (java.base@25.0.4)
 202:           453          10872  jdk.internal.classfile.impl.AccessFlagsImpl (java.base@25.0.4)
 203:           675          10800  org.springframework.core.type.classreading.ClassFileAnnotationDelegate$Source
 204:           148          10656  org.springframework.core.annotation.AnnotationTypeMapping
 205:           219          10512  java.util.WeakHashMap (java.base@25.0.4)
 206:           435          10440  java.lang.Long (java.base@25.0.4)
 207:           434          10416  jdk.internal.constant.MethodTypeDescImpl (java.base@25.0.4)
 208:           213          10224  java.util.logging.LogManager$LoggerWeakRef (java.logging@25.0.4)
 209:           437          10184  [Ljava.lang.reflect.Constructor; (java.base@25.0.4)
 210:           315          10080  java.lang.module.ModuleDescriptor$Requires (java.base@25.0.4)
 211:             4           9984  [Ljava.util.Locale; (java.base@25.0.4)
 212:            54           9936  org.apache.catalina.connector.Request
 213:           407           9768  jdk.jfr.internal.EventControl$NamedControl (jdk.jfr@25.0.4)
 214:           203           9744  java.lang.invoke.LambdaFormEditor$Transform (java.base@25.0.4)
 215:           400           9600  java.util.LinkedList$Node (java.base@25.0.4)
 216:            92           9568  org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile
 217:           357           9440  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 218:           383           9192  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@25.0.4)
 219:           342           9000  [Lorg.springframework.core.annotation.MergedAnnotation;
 220:           560           8960  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 221:           185           8880  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@25.0.4)
 222:           276           8832  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@25.0.4)
 223:           367           8808  javax.management.ObjectName$Property (java.management@25.0.4)
 224:           363           8712  java.util.LinkedHashMap$LinkedEntrySet (java.base@25.0.4)
 225:           213           8520  java.lang.classfile.Opcode (java.base@25.0.4)
 226:           132           8448  java.lang.module.ModuleDescriptor (java.base@25.0.4)
 227:           289           8368  [Ljavax.management.ObjectName$Property; (java.management@25.0.4)
 228:           341           8184  org.springframework.beans.MutablePropertyValues
 229:           341           8184  org.springframework.core.annotation.MergedAnnotationsCollection
 230:           204           8160  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@25.0.4)
 231:           162           7776  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 232:           318           7632  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@25.0.4)
 233:           292           7616  [Ljava.lang.constant.ClassDesc; (java.base@25.0.4)
 234:           317           7608  java.util.ImmutableCollections$SetN (java.base@25.0.4)
 235:           190           7600  java.util.WeakHashMap$Entry (java.base@25.0.4)
 236:           232           7424  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 237:           309           7416  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 238:           309           7416  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 239:           130           7280  jdk.internal.module.ModuleReferenceImpl (java.base@25.0.4)
 240:           113           7232  java.net.URL (java.base@25.0.4)
 241:           291           7032  [Ljava.lang.annotation.Annotation; (java.base@25.0.4)
 242:           293           7032  sun.reflect.generics.factory.CoreReflectionFactory (java.base@25.0.4)
 243:           428           6848  java.util.HashMap$KeySet (java.base@25.0.4)
 244:           274           6576  java.security.Provider$UString (java.base@25.0.4)
 245:           270           6480  javax.management.ImmutableDescriptor (java.management@25.0.4)
 246:           268           6432  org.springframework.beans.BeanMetadataAttribute
 247:           199           6368  jdk.jfr.internal.EventControl (jdk.jfr@25.0.4)
 248:           194           6208  jdk.jfr.internal.SettingsManager$InternalSetting (jdk.jfr@25.0.4)
 249:           193           6176  sun.reflect.generics.repository.ClassRepository (java.base@25.0.4)
 250:           108           6048  org.springframework.core.type.classreading.ClassFileAnnotationMetadata
 251:           125           6000  org.springframework.core.annotation.TypeMappedAnnotations
 252:           107           5992  org.springframework.context.annotation.ConfigurationClass
 253:           186           5952  org.springframework.boot.context.properties.bind.JavaBeanBinder$BeanProperty
