1:
 num     #instances         #bytes  class name (module)
 327:            50           1200  java.lang.StringConcatHelper$Concat1 (java.base@25.0.4)
 328:            15           1200  org.springframework.web.method.HandlerMethod
 329:            21           1176  javax.management.openmbean.CompositeType (java.management@25.0.4)
 330:            48           1152  java.lang.invoke.Invokers (java.base@25.0.4)
 331:            48           1152  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@25.0.4)
 332:            48           1152  java.util.jar.Manifest (java.base@25.0.4)
 333:            48           1152  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@25.0.4)
 334:            36           1152  java.util.regex.Pattern$Branch (java.base@25.0.4)
 335:            72           1152  jdk.proxy1.$Proxy4 (jdk.proxy1)
 336:            18           1152  sun.security.ec.SunEC$ProviderService (java.base@25.0.4)
 337:            47           1144  [Lio.micrometer.core.instrument.Tag;
 338:             3           1144  [[I (java.base@25.0.4)
 339:             1           1136  [Lsun.security.util.KnownOIDs; (java.base@25.0.4)
 340:            71           1136  jdk.proxy1.$Proxy16 (jdk.proxy1)
 341:            47           1128  io.micrometer.core.instrument.Tags
 342:            47           1128  org.apache.coyote.ActionCode
 343:            47           1128  org.springframework.boot.loader.jar.ManifestInfo
 344:            47           1128  org.springframework.boot.loader.zip.ZipContent$Source
 345:            20           1120  java.nio.HeapByteBuffer (java.base@25.0.4)
 346:            23           1104  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@25.0.4)
 347:            46           1104  jdk.internal.loader.URLClassPath$Loader (java.base@25.0.4)
 348:            46           1104  org.springframework.boot.actuate.endpoint.EndpointId
 349:            46           1104  org.springframework.boot.loader.net.protocol.nested.NestedLocation
 350:             2           1104  org.springframework.boot.tomcat.TomcatEmbeddedContext
 351:            36           1088  [Ljava.util.regex.Pattern$Node; (java.base@25.0.4)
 352:            27           1080  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@25.0.4)
 353:            44           1056  java.time.Duration (java.base@25.0.4)
 354:             1           1040  [Ljava.lang.Byte; (java.base@25.0.4)
 355:             1           1040  [Ljava.lang.Integer; (java.base@25.0.4)
 356:             1           1040  [Ljava.lang.Long; (java.base@25.0.4)
 357:             1           1040  [Ljava.lang.Short; (java.base@25.0.4)
 358:             1           1040  [Ljava.lang.classfile.Instruction; (java.base@25.0.4)
 359:            26           1040  java.math.BigDecimal (java.base@25.0.4)
 360:            13           1040  tools.jackson.databind.util.internal.PrivateMaxEntriesMap
 361:            43           1032  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@25.0.4)
 362:            64           1024  java.util.regex.Pattern$BitClass (java.base@25.0.4)
 363:            32           1024  tools.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 364:            21           1008  tools.jackson.databind.type.SimpleType
 365:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@25.0.4)
 366:            41            984  java.lang.String$$StringConcat/0x0000700001044800 (java.base@25.0.4)
 367:            60            960  java.util.jar.Attributes (java.base@25.0.4)
 368:            17            952  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@25.0.4)
 369:            59            944  [Ljava.security.Principal; (java.base@25.0.4)
